Pattern String,Pattern Type ,Deceptive?
Limited time offer! Only 5 left in stock!,Bait and Switch,1
Flash sale - Ends in 2 hours!,Bait and Switch,1
Don't miss out! This price won't last!,Bait and Switch,1
Exclusive offer - Just for you!,Bait and Switch,1
Last chance to buy!,Bait and Switch,1
Free shipping for orders over $50!,Bait and Switch,1
Low price! ,Bait and Switch,1
Membership required for access to this deal!,Bait and Switch,1
Easy financing! ,Bait and Switch,1
Limited warranty,Bait and Switch,1
"Up to 80% off! (only a few select items, others discounted minimally)",Bait and Switch,1
"Compare at $100, now only $20! ",Bait and Switch,1
"Buy one, get one 50% off!",Bait and Switch,1
Clearance sale! Everything must go!,Bait and Switch,1
Price is firm! No further discounts!,Bait and Switch,1
As seen on TV!,Bait and Switch,1
Doctor recommended! ,Bait and Switch,1
Guaranteed results!,Bait and Switch,1
Brand new!,Bait and Switch,1
Pre-order now! Get it faster! ,Bait and Switch,1
Click here for a surprise gift! ,Bait and Switch,1
Exclusive bundle offer!Limited edition!,Bait and Switch,1
Free trial! No credit card required!,Bait and Switch,1
5-star rating! 100% customer satisfaction! ,Bait and Switch,1
User-verified purchase,Bait and Switch,1
Limited reviews - Be the first one! ,Bait and Switch,1
Read all reviews! ,Bait and Switch,1
Sponsored product!,Bait and Switch,1
Hurry! This offer won't last!,Bait and Switch,1
Act now! Quantities limited!,Bait and Switch,1
Don't be left out! Everyone's buying this! ,Bait and Switch,1
Sale! Sale! Sale!,Bait and Switch,1
Happy Holidays! Special savings!,Bait and Switch,1
Get this amazing product for just $10!*,Bait and Switch,1
"Limited stock at $20, but check out our similar items at higher prices!",Bait and Switch,1
Special discount on this item,Bait and Switch,1
Unbeatable prices on select models.,Bait and Switch,1
Click for the lowest price,Bait and Switch,1
Exclusive deal on this exact item,Bait and Switch,1
Big savings on our homepage.,Bait and Switch,1
Unlock secret discounts,Bait and Switch,1
Flash sale on these items,Bait and Switch,1
Promotional email with unbelievable deals,Bait and Switch,1
Claim your discount,Bait and Switch,1
Lowest prices guaranteed.,Bait and Switch,1
Browse our sale section.,Bait and Switch,1
Shop exclusive offers.,Bait and Switch,1
Deal of the day,Bait and Switch,1
Special promotion on this product,Bait and Switch,1
Discounted items on the homepage.,Bait and Switch,1
Limited-time offer,Bait and Switch,1
Unlock your discount.,Bait and Switch,1
Explore our budget-friendly options,Bait and Switch,1
Special deal on this item,Bait and Switch,1
Exclusive discount on select products.,Bait and Switch,1
Click for a surprise discount.,Bait and Switch,1
Unlock hidden savings,Bait and Switch,1
Check out our featured sale items.,Bait and Switch,1
Unlock unbeatable prices,Bait and Switch,1
 Limited-time offer! Act now! ,Interface Interference,1
 Your item is almost sold out! ,Interface Interference,1
Exclusive deal - available to the first 100 customers only!,Interface Interference,1
"Hidden fees may apply, see terms for details.",Interface Interference,1
Buy now before prices go up!,Interface Interference,1
Countdown timer for checkout expires in 5 minutes.,Interface Interference,1
Get 50% off! (after mail-in rebate),Interface Interference,1
"Free trial, credit card required.",Interface Interference,1
Continue without subscribing? - Not recommended.,Interface Interference,1
Recommended add-ons pre-selected for you.,Interface Interference,1
Opt-out of our newsletter? (selected by default),Interface Interference,1
Only 3 items left in stock! Hurry!,Interface Interference,1
Unlock premium features for just $9.99/month.,Interface Interference,1
Download our app for the best deals (forced redirect).,Interface Interference,1
Proceed to checkout: Billing details pre-filled.,Interface Interference,1
"Subscribe for updates, don't miss out on promotions.",Interface Interference,1
Terms and conditions - scroll through 10 pages to find.,Interface Interference,1
Double-check your order - added insurance for only $5.,Interface Interference,1
Extra 20% off - *applies only to select items,Interface Interference,1
Flash sale! Limited quantities available.,Interface Interference,1
Almost gone! Grab it before it's too late!,Interface Interference,1
VIP access for the first 50 customers!,Interface Interference,1
"Additional charges may apply, check the fine print.",Interface Interference,1
Countdown to exclusive member pricing ends soon.,Interface Interference,1
Save 60% instantly! (after complicated mail-in process),Interface Interference,1
"Free trial, but credit card information required upfront.",Interface Interference,1
Skip subscription? - Not recommended for savings!,Interface Interference,1
Frequently bought together: Pre-selected for convenience.,Interface Interference,1
Stay connected - Receive our newsletter by default.,Interface Interference,1
Limited stock alert! Only 2 items remaining.,Interface Interference,1
Upgrade to the deluxe version for just $12/month.,Interface Interference,1
Unlock app-only discounts with our redirect prompt.,Interface Interference,1
Premium membership perks for a monthly fee.,Interface Interference,1
Download our mobile app for exclusive in-app offers.,Interface Interference,1
Secure your order with insurance for just $7.,Interface Interference,1
Newsletter sign-up incentivized with hidden discounts.,Interface Interference,1
Check the box to receive our weekly newsletter updates.,Interface Interference,1
Don't miss out! Subscribe for the latest promotions.,Interface Interference,1
Special promotion - apply code for undisclosed benefits.,Interface Interference,1
Limited edition - grab it before it disappears!,Interface Interference,1
Upsell alert! Deluxe version available for only $15 more.,Interface Interference,1
"Act fast - Limited stock, high demand!",Interface Interference,1
Unlock exclusive features - Premium membership for $19.99.,Interface Interference,1
Instant savings - apply code hidden in the corner.,Interface Interference,1
Auto-subscribe to our newsletter for ongoing benefits.,Interface Interference,1
Limited-time free shipping - minimum purchase required.,Interface Interference,1
